round,version,mode,size,nodes,edges,iterations,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,clusters,merged,adjacent_pairs,assigned_nodes,reused_connectivity,scanned_connectivity_nodes,min_planarity,checksum
3,baseline,chain,81,2916,5340,500,0.321488,0.302097,0.43215,0.45887,0.668152,27,54,80,2916,0,0,0.329179,1471500
3,current,chain,81,2916,5340,500,0.347054,0.321452,0.476032,0.610003,1.113026,27,54,80,2916,81,0,0.329179,1471500
3,baseline,chain,289,10404,19068,500,1.207865,1.140727,1.595349,1.873191,2.156802,97,192,288,10404,0,0,0.329178,5250500
3,current,chain,289,10404,19068,500,1.284796,1.222782,1.702009,2.037979,2.567081,97,192,288,10404,289,0,0.329178,5250500
3,baseline,dynamic,1,2760,5344,500,0.296208,0.275677,0.434113,0.51222,0.571371,4.15,0.03,0.03,2759.872,0,0,0.624695,1382011
3,current,dynamic,1,2760,5344,500,0.264131,0.244989,0.37347,0.468728,0.539391,4.15,0.03,0.03,2759.872,3.504,679.408,0.624695,1382011
3,baseline,dynamic,4,11040,21376,500,1.102428,1.023007,1.65435,1.935447,2.442527,16.6,0.12,0.12,11039.872,0,0,0.624695,5528236
3,current,dynamic,4,11040,21376,500,1.05903,1.000926,1.490843,1.722979,1.877639,16.6,0.12,0.12,11039.872,14.106,2537.728,0.624695,5528236
4,current,steady,1,2760,5344,500,0.249255,0.222297,0.348433,0.388217,0.469941,4,0,0,2760,4,0,0.666203,1382000
4,baseline,steady,1,2760,5344,500,0.234846,0.216315,0.340248,0.351739,0.380573,4,0,0,2760,0,0,0.666203,1382000
4,current,steady,4,11040,21376,500,0.936417,0.889858,1.316847,1.446341,1.671643,16,0,0,11040,16,0,0.666203,5528000
4,baseline,steady,4,11040,21376,500,0.956397,0.880961,1.416464,1.594799,1.791337,16,0,0,11040,0,0,0.666203,5528000
4,current,birth,1,2760,5344,500,0.22628,0.211666,0.337092,0.34704,0.36843,0,0,0,0,0,2760,1,0
4,baseline,birth,1,2760,5344,500,0.199498,0.195276,0.219892,0.27752,0.330188,0,0,0,0,0,0,1,0
4,current,birth,4,11040,21376,500,0.942517,0.860001,1.421253,1.604196,1.899009,0,0,0,0,0,11040,1,0
4,baseline,birth,4,11040,21376,500,0.851361,0.808414,1.053394,1.40865,1.741984,0,0,0,0,0,0,1,0
4,current,merge,9,2916,5724,500,0.383505,0.371146,0.446096,0.563485,0.605394,1,80,144,2916,81,0,1,1458500
4,baseline,merge,9,2916,5724,500,0.382445,0.369312,0.466104,0.552926,0.609733,1,80,144,2916,0,0,1,1458500
4,current,merge,17,10404,20604,500,1.308999,1.234875,1.765419,2.191156,2.421858,1,288,544,10404,289,0,1,5202500
4,baseline,merge,17,10404,20604,500,1.355606,1.29673,1.800464,2.194502,2.548254,1,288,544,10404,0,0,1,5202500
4,current,reject,9,2916,5724,500,0.311342,0.300994,0.374362,0.408806,0.484818,81,0,144,2916,81,0,0.999999,1498500
4,baseline,reject,9,2916,5724,500,0.304929,0.295032,0.364182,0.402855,0.426239,81,0,144,2916,0,0,0.999999,1498500
4,current,reject,17,10404,20604,500,1.144921,1.119468,1.304154,1.433676,1.785556,289,0,544,10404,289,0,0.999999,5346500
4,baseline,reject,17,10404,20604,500,1.306982,1.185141,2.092051,2.504002,3.011874,289,0,544,10404,0,0,0.999999,5346500
4,current,chain,81,2916,5340,500,0.34863,0.326893,0.467346,0.590176,0.764112,27,54,80,2916,81,0,0.329179,1471500
4,baseline,chain,81,2916,5340,500,0.325422,0.305823,0.420007,0.505337,0.617016,27,54,80,2916,0,0,0.329179,1471500
4,current,chain,289,10404,19068,500,1.473611,1.352204,2.168794,3.022083,6.205899,97,192,288,10404,289,0,0.329178,5250500
4,baseline,chain,289,10404,19068,500,1.585771,1.427605,2.567681,3.36228,4.510533,97,192,288,10404,0,0,0.329178,5250500
4,current,dynamic,1,2760,5344,500,0.26353,0.244378,0.376445,0.513833,0.745467,4.15,0.03,0.03,2759.872,3.504,679.408,0.624695,1382011
4,baseline,dynamic,1,2760,5344,500,0.271121,0.247293,0.391543,0.493124,0.78428,4.15,0.03,0.03,2759.872,0,0,0.624695,1382011
4,current,dynamic,4,11040,21376,500,1.178345,1.074173,1.754268,2.410878,3.7089,16.6,0.12,0.12,11039.872,14.106,2537.728,0.624695,5528236
4,baseline,dynamic,4,11040,21376,500,1.205311,1.089982,1.797508,2.63085,3.28168,16.6,0.12,0.12,11039.872,0,0,0.624695,5528236
5,baseline,steady,1,2760,5344,500,0.25416,0.238086,0.355366,0.462467,0.64537,4,0,0,2760,0,0,0.666203,1382000
5,current,steady,1,2760,5344,500,0.24265,0.222617,0.342342,0.398747,0.495609,4,0,0,2760,4,0,0.666203,1382000
5,baseline,steady,4,11040,21376,500,1.15691,1.048595,1.693684,2.338963,3.704693,16,0,0,11040,0,0,0.666203,5528000
5,current,steady,4,11040,21376,500,1.229711,1.123184,1.904189,2.35319,2.791461,16,0,0,11040,16,0,0.666203,5528000
5,baseline,birth,1,2760,5344,500,0.218658,0.206016,0.297919,0.356989,0.509354,0,0,0,0,0,0,1,0
5,current,birth,1,2760,5344,500,0.221862,0.211957,0.282248,0.332333,0.46992,0,0,0,0,0,2760,1,0
5,baseline,birth,4,11040,21376,500,1.062748,0.955009,1.639042,2.29951,2.872033,0,0,0,0,0,0,1,0
5,current,birth,4,11040,21376,500,1.220277,1.117694,1.853032,2.469688,2.619418,0,0,0,0,0,11040,1,0
5,baseline,merge,9,2916,5724,500,0.502925,0.438942,0.803405,0.97135,1.200259,1,80,144,2916,0,0,1,1458500
5,current,merge,9,2916,5724,500,0.481244,0.43265,0.740668,0.936264,1.061839,1,80,144,2916,81,0,1,1458500
